Carpeta,Archivo,Columna,N,Media,Desv_Est,Estadistico_W,p_valor,Alpha,Es_Normal,Nota
promedio_06_001_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3798284333333334,0.008641657570418293,0.9700954505301026,0.5417902209861054,0.05,True,
promedio_06_001_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.38437533333333324,0.011417003113424905,0.964522884499056,0.4019200641229117,0.05,True,
promedio_06_01_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.30399303333333333,0.009607419555535816,0.9550335621624335,0.23010911497122405,0.05,True,
promedio_06_01_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.298656,0.007770468671792604,0.9819862280411807,0.8755479663959778,0.05,True,
promedio_06_01_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.30443506666666664,0.011977325620934131,0.9403112071084011,0.09273129747378668,0.05,True,
promedio_06_1_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.22857546666666667,0.007503394058384666,0.9615957682437822,0.34005673059980196,0.05,True,
promedio_06_1_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.2250365666666667,0.005918228437651749,0.980535548898919,0.839611959462143,0.05,True,
promedio_07_001_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.39159503333333334,0.011131359883721288,0.8894104662243348,0.004671493421714774,0.05,False,
promedio_07_001_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3874397,0.007260156947814318,0.9738556951342989,0.6490669704363357,0.05,True,
promedio_07_001_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.38970533333333335,0.02014459624013748,0.8512193979324022,0.0006576422617213582,0.05,False,
promedio_07_01_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.31067876666666666,0.007597928504820766,0.9791521326221506,0.8025851025564346,0.05,True,
promedio_07_01_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.30763830000000003,0.008592382521143664,0.9353929785463736,0.0683964221781422,0.05,True,
promedio_07_01_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.31499886666666665,0.01023084978684173,0.916461511989907,0.021732642063555577,0.05,False,
promedio_07_1_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.23407016666666666,0.005110246873605562,0.9485532461867994,0.15460861324334696,0.05,True,
promedio_07_1_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.2330228,0.006418124236663029,0.9460432232201184,0.1323473685890923,0.05,True,
promedio_07_1_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.2315223,0.010052826612793862,0.981844047051355,0.8721805164939329,0.05,True,
promedio_08_001_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.40286686666666677,0.011960854832596074,0.9625646081705167,0.35961953086343734,0.05,True,
promedio_08_001_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3948304666666667,0.008662018522155266,0.9631683699995777,0.3722667272514396,0.05,True,
promedio_08_001_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,50,0.39590546,0.020930095781843492,0.8929648130562924,0.00028373414815003445,0.05,False,
promedio_08_01_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.32171506666666655,0.007764244519650283,0.9647301489819232,0.406613548471782,0.05,True,
promedio_08_01_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.32349946666666674,0.008650648764721328,0.9621412689032347,0.3509608971667586,0.05,True,
promedio_08_01_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3252018,0.008862205977419334,0.9233532052884778,0.03279747545584113,0.05,False,
promedio_08_1_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.24172843333333335,0.006479495875895522,0.9706976738047278,0.5584378802960732,0.05,True,
promedio_08_1_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.23929650000000002,0.007791988749505086,0.962364820218657,0.3555117892286053,0.05,True,
promedio_08_1_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.23832183333333337,0.008266659489128329,0.9774481632721675,0.7544126182862807,0.05,True,
