f1,f2
311.000000,13.360000
305.000000,13.320000
318.000000,13.500000
301.000000,13.248571
312.000000,13.468571
299.000000,13.168571
294.000000,12.865714
296.000000,13.082857
295.000000,13.031429
317.000000,13.482857
310.000000,13.354286
294.000000,13.114286
309.000000,13.665714
310.000000,13.691429
298.000000,13.434286
304.000000,13.571429
306.000000,13.600000
305.000000,13.597143
297.000000,13.314286
295.000000,13.165714
296.000000,13.274286
303.000000,13.560000
298.000000,13.137143
305.000000,13.211429
306.000000,13.240000
304.000000,13.165714
294.000000,12.777143
295.000000,12.965714
296.000000,13.422857
299.000000,13.645714
297.000000,13.580000
301.000000,13.651429
305.000000,13.728571
295.000000,13.360000
294.000000,13.302857
302.000000,13.717143
294.000000,12.528571
298.000000,12.665714
297.000000,12.645714
296.000000,12.557143
302.000000,13.237143
294.000000,12.797143
320.000000,13.411429
297.000000,13.085714
322.000000,13.425714
296.000000,12.900000
298.000000,13.394286
296.000000,13.382857
306.000000,13.540000
312.000000,13.551429
294.000000,13.060000
305.000000,13.531429
299.000000,13.488571
295.000000,13.194286
300.000000,13.494286
300.000000,13.017143
299.000000,13.011429
294.000000,12.700000
298.000000,12.957143
296.000000,12.897143
295.000000,12.868571
295.000000,13.162857
302.000000,13.388571
304.000000,13.428571
294.000000,12.900000
298.000000,13.325714
303.000000,13.405714
299.000000,13.371429
299.000000,13.722857
295.000000,13.622857
301.000000,13.760000
305.000000,13.820000
294.000000,13.271429
296.000000,13.648571
310.000000,13.860000
303.000000,13.768571
297.000000,13.402857
294.000000,12.868571
296.000000,13.274286
299.000000,13.417143
302.000000,13.437143
295.000000,13.262857
297.000000,13.077143
307.000000,13.154286
296.000000,13.060000
300.000000,13.131429
298.000000,13.122857
295.000000,12.945714
294.000000,12.848571
294.000000,13.580000
296.000000,13.794286
295.000000,13.745714
297.000000,13.808571
